51300009594,adb,177,56
51300032562,bgc,77,287
51300044153,cdd,233,170
51300046038,gfa,104,41
51300178026,dec,21,299
51300183488,gce,180,176
51300185297,afc,233,290
51300199604,bgg,117,260
51300221448,dba,261,94
51300233299,bbd,201,230
51300336949,bdg,263,63
51300363610,fca,232,168
51300378690,ddf,287,90
51300384549,ccc,82,275
51300395911,cca,52,41
51300435307,eee,267,266
51300449021,abf,155,140
51300472344,gfc,252,293
51300500296,dfg,193,286
51300517491,gcc,236,224
51300526567,abe,57,277
51300527401,bbe,291,220
51300575235,cda,164,187
51300625224,ega,72,250
51300779612,dbd,45,259
51300806511,aga,215,163
51300845659,gag,276,89
51300889076,aga,125,164
51300910233,aec,39,174
51300915529,fad,184,19
51300936897,aag,22,123
51300993559,bbb,118,69
51301015369,fdf,167,154
51301053913,fcb,133,152
51301084434,cgg,52,290
51301087594,eef,62,268
51301096178,dcc,128,215
51301100149,eaa,44,185
51301115675,eba,189,240
51301251084,cbb,185,97
51301253467,ebe,177,138
51301256972,ggd,239,26
51301272800,dgb,64,287
51301276617,fgb,47,293
51301289541,aeg,22,197
51301324268,caa,299,264
51301360170,abg,163,200
51301369353,def,121,136
51301376203,eca,262,44
51301378768,fgd,111,140
51301391997,dcd,195,161
51301395933,cbd,36,176
51301398134,cgc,105,180
51301463654,aec,134,153
51301466146,efc,92,227
51301469849,aed,2,75
51301476256,ffe,276,31
51301489471,bgf,178,277
51301540342,cbf,243,83
51301551852,aea,289,243
51301568652,beb,8,190
51301622792,daf,132,284
51301645043,bee,264,29
51301653441,ddd,129,262
51301659652,gga,37,80
51301738399,dea,100,281
51301752223,ege,68,101
51301757013,ccg,142,176
51301760030,cac,66,266
51301796692,edc,73,52
51301806210,ebd,249,194
51301807057,bac,58,297
51301817860,fbg,230,162
51301837775,aga,292,137
51301886970,ccg,270,160
51301904401,gae,164,27
51301933952,ecc,56,252
51301937881,ffd,29,16
51301944331,edg,255,221
51302064694,bee,213,28
51302112710,fdg,78,219
51302172334,dde,178,55
51302174205,dab,244,188
51302192067,dfb,154,54
51302209603,edd,138,100
51302213952,gdd,164,146
51302221247,cdf,55,246
51302266607,aae,7,156
51302268691,ggc,31,201
51302278488,eff,34,139
51302333858,ddb,291,285
51302335333,efe,194,294
51302335618,caf,244,197
51302335891,bfb,2,15
51302402252,bdb,188,111
51302402938,ecb,45,155
51302425081,fac,131,264
51302426968,gcg,224,188
51302458140,fca,117,181
51302497581,aac,21,139
51302512994,fcg,122,247
51302513299,eda,229,76
51302520131,dac,149,13
51302535094,caf,242,198
51302538686,cbb,33,95
51302610677,dee,264,287
51302627691,age,251,216
51302639204,cdf,186,280
51302644254,gfa,207,38
51302645724,ada,207,78
51302672772,afg,197,224
51302709112,eea,161,180
51302711860,bag,55,169
51302767600,eab,71,289
51302775206,aaf,60,202
51302786295,aba,272,283
51302816540,fgd,16,126
51302816717,bbe,172,202
51302868643,gde,165,192
51302972460,dfe,267,217
51302985945,dfg,12,265
51302996908,dfg,165,249
51303002824,fce,158,16
51303010983,eag,174,58
51303028163,dea,265,328
51303032675,aab,46,183
51303043124,eba,187,204
51303052316,ccb,210,43
51303065441,fea,119,231
51303079033,dae,144,174
51303079872,eaa,296,164
51303080296,cae,23,291
51303099424,cga,273,92
51303105021,gcf,239,268
51303137754,abf,69,117
51303150108,fdf,5,135
51303153643,cab,238,126
51303215190,efg,1,123
51303229012,gbc,77,36
51303262758,bad,273,259
51303275842,gca,75,153
51303287882,fab,271,243
51303293551,ccg,212,185
51303311788,gdf,262,19
51303326190,afc,246,342
51303329182,bac,132,326
51303347429,cbd,294,146
51303352286,fdc,62,207
51303372588,gbc,177,28
51303377855,fde,166,240
51303411356,edg,25,238
51303438047,gdf,262,20
51303462329,gcd,123,248
51303484203,edb,233,94
51303486006,fce,297,13
51303500274,gce,129,156
51303501336,baa,263,171
51303524989,dfd,8,273
51303567191,dbe,152,183
51303581644,efg,88,131
51303596415,beb,15,178
51303606979,fee,260,194
51303611951,bdb,173,106
51303627356,ecc,189,292
51303635250,fbg,203,157
51303638618,dff,294,222
51303640589,agf,277,269
51303675898,gec,185,188
51303710141,eeg,202,9
51303791107,eca,216,47
51303806401,ggg,193,99
51303833403,fee,281,195
51303846582,gfe,22,62
51303861178,cag,169,183
51303867025,dce,146,206
51303870451,bde,265,211
51303880809,eed,198,29
51303907388,cbf,17,84
51303950662,fda,48,207
51303985617,gbe,290,272
51304022809,fdg,1,223
51304028702,bcc,227,147
51304044056,fbd,230,267
51304064086,bdf,111,169
51304073318,dgg,155,41
51304134419,bae,131,110
51304146935,gdd,106,147
51304194544,acb,215,137
51304210911,fbc,13,144
51304221803,ead,55,125
51304224469,ffb,72,288
51304229636,cca,236,37
51304238050,bce,148,213
51304252020,bbg,238,87
51304264214,cec,23,167
51304265064,bcd,154,73
51304277949,dfb,153,50
51304290159,eae,231,73
51304309859,egg,122,191
51304314887,aba,234,246
51304316478,ggb,291,122
51304351432,eed,117,34
51304361657,ebe,292,118
51304384424,afa,180,291
51304394851,bge,34,203
51304437455,fad,115,18
51304472552,aaf,298,212
51304492807,fee,107,156
51304493353,bef,147,93
51304502761,ege,154,84
51304519363,fga,247,188
51304533110,bab,37,77
51304539540,ede,200,292
51304540295,abf,8,98
51304546092,gbd,290,190
51304558469,ggf,194,210
51304570384,deg,22,45
51304582139,cfc,111,117
51304596196,agc,41,236
51304634776,bdc,257,17
51304652454,abd,117,158
51304672372,gea,240,36
51304703239,fdd,251,227
51304708233,acf,111,102
51304713355,bgc,151,315
51304768351,bec,278,273
51304794027,efb,8,146
51304824843,afe,132,37
51304825420,cfb,29,103
51304863124,agf,7,234
51304875801,acc,194,94
51304931865,cde,194,152
51304938698,bbd,98,190
51304973198,aca,122,260
51304976049,deb,276,291
51305022287,agg,182,26
51305025462,adf,236,168
51305061501,feb,46,91
51305067556,cda,208,175
51305082878,cgg,136,249
51305091586,fcf,225,216
51305113472,agd,136,125
51305117809,cec,28,188
51305118460,bcc,1,148
51305123894,bag,94,199
51305132043,ecf,181,203
51305174782,ffb,174,279
51305203041,dbf,82,98
51305206159,dcf,93,78
51305254671,eda,101,63
51305273724,ceg,250,151
51305275990,ade,24,235
51305280979,ffa,221,54
51305295485,cbd,235,163
51305300265,fgb,94,237
51305301021,cga,221,106
51305321500,bed,209,209
51305335165,geg,228,144
51305340518,cgb,155,269
51305365937,adg,101,36
51305385952,cba,119,232
51305399049,ffg,102,200
51305411504,faf,22,205
51305411917,bcb,108,255
51305413095,aca,82,252
51305420398,cdc,116,28
51305445428,gaa,267,198
51305472254,gfc,122,269
51305475187,fab,185,206
51305492837,aag,69,145
51305544302,dgd,127,87
51305554319,dgd,49,76
51305584763,geb,98,117
51305616109,bgf,231,293
51305624600,bab,27,82
51305626236,bff,219,29
51305639475,dga,245,64
51305696979,bbd,282,199
51305718555,bea,160,181
51305763655,eba,132,222
51305778899,dag,235,98
51305797586,gdc,235,294
51305805894,bgg,239,283
51305812172,dfe,143,175
51305813850,ggf,15,174
51305815437,bgb,185,70
51305817994,afd,165,111
51305832207,eff,21,158
51305872441,ecd,281,36
51305891947,afa,37,253
51305895238,dag,247,88
51305898756,agc,196,198
51305930592,abc,241,193
51305935421,cbc,48,127
51305944208,fbe,60,61
51305973274,cee,152,294
51305978214,cff,197,292
51306000721,gge,295,141
51306002434,bbc,99,111
51306024609,ccf,31,61
51306025392,bfg,40,296
51306034177,gbg,190,223
51306051253,ebb,103,111
51306067377,fcb,52,130
51306077921,gdg,109,84
51306093525,bfc,238,158
51306110641,faf,298,174
51306118825,fbb,196,22
51306119357,abe,50,301
51306148610,afd,7,115
51306149619,fef,126,81
51306171906,gab,166,67
51306174431,cgd,18,119
51306247013,ecd,260,37
51306263220,cef,169,144
51306298443,acb,8,121
51306309996,efc,183,202
51306337729,gad,208,67
51306373508,bce,149,183
51306382960,fcd,79,150
51306437519,fbb,227,20
51306443517,bba,285,25
51306458836,egd,215,247
51306482169,dcg,92,177
51306492543,ecf,35,209
51306501386,dde,206,46
51306541233,bfd,115,210
51306544934,caa,280,219
51306555339,acd,185,169
51306573075,fgf,100,29
51306576193,agd,237,111
51306588834,bdf,92,196
51306597636,gga,269,88
51306610988,bbc,280,99
51306624345,cge,176,6
51306633710,gda,175,57
51306659439,gef,225,284
51306666653,gbg,294,247
51306674264,dfb,293,40
51306675266,eee,59,268
51306675340,dbc,180,218
51306689659,agc,183,168
51306709693,fec,226,107
51306721667,fca,136,175
51306735247,eea,35,156
51306746917,gag,5,77
51306747433,gcb,210,164
51306748056,ebf,297,255
51306748098,fae,160,265
51306750943,dab,299,159
51306751188,dgf,240,87
51306761427,gga,213,102
51306778772,dcb,128,109
51306799033,ggg,163,97
51306837368,add,222,287
51306843419,afc,95,352
51306859792,fgc,74,148
51306874376,eag,50,58
51306891500,abd,267,127
51306919377,ecb,48,182
51306928463,bee,32,24
51306936878,fcc,220,67
51306937677,ggf,131,151
51306991224,abg,208,214
51307023317,dgd,57,66
51307035391,dbg,170,266
51307055444,daa,117,237
51307063324,cga,200,85
51307067047,gfc,133,277
51307093508,ced,74,196
51307115096,adg,58,34
51307118256,aag,294,133
51307121590,dgc,254,270
51307131136,aad,117,67
51307151382,gge,1,149
51307162657,aef,83,128
51307168106,afg,73,203
51307176950,daf,129,289
51307225734,def,222,114
51307236311,ceg,31,129
51307243404,ecd,191,34
51307246039,abg,145,216
51307249377,aff,284,72
51307250704,gbb,93,127
51307267109,aee,186,73
51307267766,adb,14,62
51307268661,gdb,51,238
51307269728,ggd,210,21
51307270806,gcg,95,221
51307272518,ade,120,251
51307304532,dcc,239,227
51307307157,bcg,189,176
51307315620,fge,179,234
51307316766,beg,132,282
51307326238,acb,22,96
51307354838,agb,165,241
51307363316,dfe,277,152
51307371178,ddg,3,169
51307389717,bbg,255,95
51307399576,cbe,160,240
51307450338,bff,207,28
51307468088,bbd,37,187
51307473158,efg,201,119
51307482238,cbc,158,137
51307492534,gad,19,71
51307511984,feg,158,110
51307517672,bfe,212,90
51307524866,dgd,135,66
51307533781,efd,99,211
51307538716,gcd,291,280
51307545204,egf,213,127
51307550999,bde,120,187
51307556450,dba,235,95
51307568577,cad,285,43
51307579491,edf,255,112
51307591673,ccg,240,188
51307625714,fff,236,105
51307637839,bee,232,28
51307638168,bfe,281,73
51307653843,ggb,222,130
51307664178,dbe,286,197
51307676848,cab,110,104
51307690307,gda,200,54
51307695633,gcc,64,192
51307706450,dff,272,204
51307732741,aeb,97,71
51307741474,gag,191,87
51307744658,aec,61,169
51307747998,cge,165,5
51307751284,egc,142,196
51307752439,dea,276,360
51307761016,gde,61,163
51307779562,ccd,79,191
51307794108,eec,54,52
51307812559,gff,124,54
51307835754,dbg,265,218
51307839025,cdd,265,153
51307842623,cbd,161,166
51307843350,gec,35,201
51307859328,fga,212,182
51307896861,bgg,161,328
51307918682,bdf,37,229
51307944767,eca,180,37
51307948845,dfa,197,292
51307989944,caf,298,162
51308006492,egb,27,126
51308052523,ddb,71,228
51308054011,ade,49,296
51308190017,ccc,291,275
51308243458,ega,249,265
51308254572,cbg,22,249
51308274118,ace,30,182
51308276633,cce,32,180
51308290078,dgb,77,264
51308319126,fbb,151,17
51308324794,bcd,16,81
51308330867,cca,15,40
51308335899,cdb,52,172
51308338443,fba,262,36
51308339647,adc,63,73
51308371738,eaf,64,32
51308379596,ffe,12,29
51308388609,bbf,167,88
51308391425,dcg,83,145
51308391435,gfe,196,49
51308406210,fce,118,11
51308426125,gfg,107,67
51308434186,bbe,161,195
51308436336,fff,240,106
51308443691,bac,198,322
51308460075,fdb,207,28
51308471051,bcc,268,128
51308487402,fed,213,279
51308509578,bcd,175,64
51308510846,fbc,140,135
51308524097,dca,249,214
51308556400,cfb,117,84
51308561758,fbf,180,144
51308577522,ced,110,184
51308577748,ceb,61,274
51308606254,gfb,283,220
51308609997,bda,29,94
51308629404,agc,293,168
51308646131,aaf,172,180
51308697402,aca,120,274
51308714479,bgb,147,63
51308720829,faa,116,192
51308754008,afb,246,93
51308755552,cgf,173,115
51308761448,eba,42,230
51308795713,adf,171,178
51308796854,aaa,114,17
51308808520,cbg,145,249
51308817636,bgd,78,94
51308818610,baf,150,46
51308820539,gea,229,40
51308847124,afc,269,306
51308847825,cgg,224,251
51308853656,cfa,22,233
51308870576,gee,98,200
51308873868,dbc,187,176
51308882516,dec,251,287
51308888533,cea,284,111
51308899607,fbf,90,129
51308901090,cff,286,239
51308907568,ead,225,132
51308917980,cgc,24,156
51308922394,cea,260,106
51308926628,ebd,140,228
51308931446,eeb,137,61
51308933110,ecg,26,23
